n1,n2,weight
Reagan1984Hard,Reagan1984Symp,0
Reagan1984Decent,Reagan1984Symp,0.448543852
Reagan1984Comp,Reagan1984Symp,0.23536673
Reagan1984Respect,Reagan1984Symp,0.825074538
Reagan1984Int,Reagan1984Symp,0.66423979
Reagan1984Moral,Reagan1984Symp,0.03606177
Reagan1984Kind,Reagan1984Symp,0.243681744
Reagan1984Insp,Reagan1984Symp,-0.280543851
Reagan1984Know,Reagan1984Symp,0
Reagan1984Example,Reagan1984Symp,0
Reagan1984Cares,Reagan1984Symp,0.844943769
Reagan1984Lead,Reagan1984Symp,0
Reagan1984Und,Reagan1984Symp,0
Reagan1984Fair,Reagan1984Symp,0
Reagan1984Touch,Reagan1984Symp,-0.244557604
Reagan1984Angry,Reagan1984Symp,0.517064255
Reagan1984Hope,Reagan1984Symp,0.821779715
Reagan1984Afr,Reagan1984Symp,0
Reagan1984Prou,Reagan1984Symp,0
Reagan1984Disg,Reagan1984Symp,0.100874198
Reagan1984Symp,Reagan1984Symp,0
Reagan1984Uneasy,Reagan1984Symp,0.492213484
Bias,Reagan1984Uneasy,-1.642673363
Reagan1984Hard,Reagan1984Uneasy,1.072621268
Reagan1984Decent,Reagan1984Uneasy,0.106488043
Reagan1984Comp,Reagan1984Uneasy,0
Reagan1984Respect,Reagan1984Uneasy,0.309226069
Reagan1984Int,Reagan1984Uneasy,0
Reagan1984Moral,Reagan1984Uneasy,0
Reagan1984Kind,Reagan1984Uneasy,0.319082787
Reagan1984Insp,Reagan1984Uneasy,0
Reagan1984Know,Reagan1984Uneasy,0
Reagan1984Example,Reagan1984Uneasy,0
Reagan1984Cares,Reagan1984Uneasy,0
Reagan1984Lead,Reagan1984Uneasy,0
Reagan1984Und,Reagan1984Uneasy,0
Reagan1984Fair,Reagan1984Uneasy,0
Reagan1984Touch,Reagan1984Uneasy,-0.393148594
Reagan1984Angry,Reagan1984Uneasy,0.30254574
Reagan1984Hope,Reagan1984Uneasy,0
Reagan1984Afr,Reagan1984Uneasy,2.382446343
Reagan1984Prou,Reagan1984Uneasy,0
Reagan1984Disg,Reagan1984Uneasy,0
Reagan1984Symp,Reagan1984Uneasy,0.492213484
Reagan1984Uneasy,Reagan1984Uneasy,0
